,コース１,コース１,コース１,コース１,コース2,コース2,コース2,コース2,Par,Yards,CourseRating,SlopeRating
,コース,グリーン,ティー,査定日,コース,グリーン,ティー,査定日,Par,Yards,CourseRating,SlopeRating
,西,ベント,レギュラー,2020.06.17,東,ベント,レギュラー,2020.06.17,72,6074,69.0,126
,西,ベント,ゴールド,2020.06.17,東,ベント,ゴールド,2020.06.17,72,5463,66.0,121
,西,ベント,レディース,2020.06.17,東,ベント,レディース,2020.06.17,72,4909,63.4,113
,西,コーライ,バック,2020.06.17,東,コーライ,バック,2020.06.17,72,6686,71.9,133
,西,コーライ,レギュラー,2020.06.17,東,コーライ,レギュラー,2020.06.17,72,6204,69.5,130
,西,コーライ,ゴールド,2020.06.17,東,コーライ,ゴールド,2020.06.17,72,5608,66.7,123
,西,コーライ,レディース,2020.06.17,東,コーライ,レディース,2020.06.17,72,5056,64.2,116
カメリアヒルズカントリークラブ,アウト,ベント,バック,2016.09.06,イン,ベント,バック,2016.09.06,72,6680,71.7,128
,アウト,ベント,レギュラー,2016.09.06,イン,ベント,レギュラー,2016.09.06,72,6282,69.9,124
,アウト,ベント,フロント1,2016.09.06,イン,ベント,フロント1,2016.09.06,72,5850,68.0,120
,アウト,ベント,レディース,2016.09.06,イン,ベント,レディース,2016.09.06,72,5304,65.5,116
鴨川カントリークラブ,アウト,ベント,青,2021.03.25,イン,ベント,青,2021.03.25,72,6331,70.0,122
,アウト,ベント,白,2021.03.25,イン,ベント,白,2021.03.25,72,5970,68.3,120
,アウト,ベント,赤,2021.03.25,イン,ベント,赤,2021.03.25,72,5180,64.8,113
加茂ゴルフ倶楽部,アウト,ベント,バック,2010.09.09,イン,ベント,バック,2010.09.09,72,6743,72.2,131
,アウト,ベント,レギュラー,2010.09.09,イン,ベント,レギュラー,2010.09.09,72,6400,70.6,127
,アウト,ベント,フロント1,2010.09.09,イン,ベント,フロント1,2010.09.09,72,6014,69.0,122
,アウト,ベント,フロント2,2010.09.09,イン,ベント,フロント2,2010.09.09,72,5537,67.3,117
カレドニアン・ゴルフクラブ,アウト,ベント,バック,2017.07.03,イン,ベント,バック,2017.07.03,72,7144,74.1,136
,アウト,ベント,レギュラー,2017.07.03,イン,ベント,レギュラー,2017.07.03,72,6573,71.6,130
,アウト,ベント,フロント1,2017.07.03,イン,ベント,フロント1,2017.07.03,72,6186,70.0,127
,アウト,ベント,レディース,2017.07.03,イン,ベント,レディース,2017.07.03,72,5404,66.5,119
木更津ゴルフクラブ,アウト,ニューグリーン,ブラック,2016.07.25,イン,ニューグリーン,ブラック,2016.07.25,72,6790,72.4,133
,アウト,ニューグリーン,ブルー,2016.07.25,イン,ニューグリーン,ブルー,2016.07.25,72,6406,70.8,129
,アウト,ニューグリーン,ホワイト,2016.07.25,イン,ニューグリーン,ホワイト,2016.07.25,72,6067,69.2,127
,アウト,ニューグリーン,ゴールド,2016.07.25,イン,ニューグリーン,ゴールド,2016.07.25,72,5679,67.5,124
,アウト,ニューグリーン,オレンジ,2016.07.25,イン,ニューグリーン,オレンジ,2016.07.25,72,5323,65.9,121
,アウト,オールドグリーン,ブラック,2016.07.25,イン,オールドグリーン,ブラック,2016.07.25,72,6627,71.5,131
,アウト,オールドグリーン,ブルー,2016.07.25,イン,オールドグリーン,ブルー,2016.07.25,72,6236,69.8,128
,アウト,オールドグリーン,ホワイト,2016.07.25,イン,オールドグリーン,ホワイト,2016.07.25,72,5903,68.4,124
,アウト,オールドグリーン,ゴールド,2016.07.25,イン,オールドグリーン,ゴールド,2016.07.25,72,5517,66.7,121
,アウト,オールドグリーン,オレンジ,2016.07.25,イン,オールドグリーン,オレンジ,2016.07.25,72,5161,65.1,118
君津香木原カントリークラブ,アウト,Aグリーン,バック,2020.09.18,イン,Aグリーン,バック,2020.09.18,72,6486,71.2,126
,アウト,Aグリーン,レギュラー,2020.09.18,イン,Aグリーン,レギュラー,2020.09.18,72,5946,68.7,120
,アウト,Aグリーン,フロント 1,2020.09.18,イン,Aグリーン,フロント 1,2020.09.18,72,5450,66.3,116
,アウト,Aグリーン,フロント 2,2020.09.18,イン,Aグリーン,フロント 2,2020.09.18,72,5317,65.6,115
,アウト,Aグリーン,レディース,2020.09.18,イン,Aグリーン,レディース,2020.09.18,72,4428,61.5,104
,アウト,Bグリーン,バック,2020.09.18,イン,Bグリーン,バック,2020.09.18,72,6292,70.4,126
